"DJ_return","log_volume","log_volatility"
-0.004461,0.032573,-13.1274025527484
0.007813,0.346202,-11.7493047230798
0.003845,0.525306,-11.6656090381915
-0.003462,0.210182,-11.6267724445685
0.000568,0.044187,-11.7281302369481
-0.010824,0.133246,-10.8725263206323
0.000124,-0.011528,-10.9777967678891
0.003358,0.001607,-11.0123598960169
-0.003296,-0.106437,-11.0471080858552
0.004469,-0.138269,-11.0220633934481
-0.00402,-0.049635,-11.0231535227425
-0.008323,-0.043387,-10.7421494107684
0.010659,0.053629,-10.387500860651
0.002393,0.104624,-10.4724268698058
-0.003305,-0.088976,-10.5358019447125
0.002009,-0.176311,-10.6244224606168
0.006049,-0.118011,-10.5751605624308
-0.001659,-0.03438,-10.6686232298485
0.001336,0.083565,-10.7654899296971
0.001028,0.346693,-10.8653050791667
-0.008176,-0.413953,-10.6423013605893
0.016301,0.16862,-9.94286829449334
0.00729,0.328089,-9.93237088895608
-0.000136,0.127959,-10.0376891125298
0.011622,0.321242,-9.84796354026974
-0.00281,0.263888,-9.93685614281269
0.002258,0.140575,-10.0305709780531
0.003117,0.113642,-10.1117136740378
0.006145,0.238402,-10.1187194834191
-0.027577,0.14005,-9.09404555427811
0.017552,0.077311,-8.9334088804923
0.005932,0.28156,-9.00956431842803
-0.000684,0.182834,-9.11449942396332
0.004036,0.028916,-9.20354650265894
0.000429,0.187155,-9.3087033167294
0.00303,0.184594,-9.40287082264784
-0.000871,0.176301,-9.50720971848303
0.00401,0.163308,-9.58881550844529
0.004668,0.148587,-9.65944299697046
0.001229,0.066165,-9.7621760287739
-0.007561,-0.088458,-9.7629135921108
0.006273,0.040821,-9.79504776271299
0.000498,0.035514,-9.89991434405603
-0.001729,-0.119618,-9.99867971930427
-0.001042,-0.023231,-10.1013920552175
0.001789,0.043096,-10.1981201238397
-0.005038,0.016663,-10.2304777659629
0.001221,-0.070667,-10.3312507249551
-0.007648,-0.073511,-10.2548278936614
0.002782,-0.119985,-10.3360366427809
0.007509,0.166714,-10.2648247766034
0.004595,0.29217,-10.3050023733133
0.001765,0.047811,-10.4000704209335
0.004204,0.109113,-10.4429084861849
-0.003096,-0.021372,-10.5123803531325
-0.006969,-0.024994,-10.4367353516203
-0.000616,-0.062097,-10.540659774819
-0.010367,-0.141754,-10.2733160550456
0.000993,-0.145954,-10.3755117818199
-0.006656,-0.145662,-10.3343018537365
-0.011787,-0.043604,-10.0510290876222
-0.004869,-0.09272,-10.0971232737816
0.011035,-0.167947,-9.91851672690824
0.00018,-0.276907,-10.0238042451924
0.001378,-0.333358,-10.1244165577686
0.005002,-0.257751,-10.1627337831275
0.001488,-0.257772,-10.2617360195275
0.002362,-0.313962,-10.3495162510538
0.001749,-0.262888,-10.4443120086761
0.003637,-0.057878,-10.5004285911494
-0.005816,-0.210062,-10.4777834681998
0.003852,-0.247353,-10.5262471014062
-0.004104,-0.286613,-10.5641632835291
-0.002229,-0.301336,-10.6483639119411
0.007501,-0.145229,-10.5199696616806
-0.002292,-0.279592,-10.6039405557455
0.00334,-0.11152,-10.6605718351224
0.000501,-0.141895,-10.7647414807054
0.003253,-0.03971,-10.8159386651916
0.006373,-0.001714,-10.7185343803831
-0.003306,-0.095929,-10.7704730148352
7.3e-05,-0.228421,-10.8758053972361
0.004882,-0.095143,-10.8501168806121
-0.002321,0.019677,-10.9250949121423
0.009078,0.08527,-10.6192280507488
0.009527,0.211949,-10.3791416757974
0.007588,0.200482,-10.2972833130978
0.005112,0.322872,-10.3200529414365
0,0.168708,-10.4254135582106
-0.002382,0.311323,-10.5097416964417
0.005804,0.195305,-10.4864789332134
0.004127,0.31146,-10.5262284609306
-0.000647,0.24611,-10.6298573428912
-0.000943,0.181202,-10.7311416871402
-0.002947,0.09339,-10.7932936199679
0.004958,0.072635,-10.7737739016912
-0.000942,0.17945,-10.8744388205459
0.005568,0.189212,-10.8126601783437
0.003853,0.313432,-10.8393179462849
0.000822,0.159209,-10.9408606318149
-0.00163,0.036303,-11.0296959348191
-0.002863,-0.081212,-11.0804186356704
0.003615,0.084773,-11.0957248217548
0.002741,0.150862,-11.1475374899716
0.001971,0.028046,-11.2233786322651
-0.004183,0.08783,-11.1928642991946
-0.00602,-0.064521,-11.0417231794001
-0.001711,-0.052991,-11.1269884618429
0.008371,0.159566,-10.8075147894012
0.004762,0.240215,-10.7955750598434
0.00184,0.17403,-10.8827335262629
-0.000401,0.104507,-10.9871430536946
-0.004394,0.065829,-10.9731136300462
0.006232,0.238505,-10.8541187254873
-0.002073,0.232095,-10.935071297747
0.002722,-0.016456,-10.9952853129339
-0.006408,0.04659,-10.8601165417836
0.005345,0.210316,-10.8125172099321
-0.001659,0.205643,-10.9028164740636
-0.002022,-0.025747,-10.983799518273
-0.001179,-0.047893,-11.080102680824
-0.003169,-0.184693,-11.1155657839306
-0.000418,-0.154739,-11.2196239611396
0.006317,-0.041642,-11.0392604218884
0.006154,0.040318,-10.911891380338
-0.00095,0.177802,-11.0117738842284
0.000303,0.275247,-11.1165172469523
-0.000771,0.253747,-11.2174426475983
0.001294,0.093386,-11.3090519947801
-0.006155,0.116196,-11.1193001716663
-0.008229,0.029765,-10.8141934089009
0.002634,-0.034146,-10.8819297900708
0.006908,0.136429,-10.7387583620589
-0.002672,0.030233,-10.8082030368259
0.000831,-0.167275,-10.9097752046112
-0.005305,-0.253922,-10.8572319996243
0.00096,-0.143689,-10.9572884389637
0.001307,-0.126369,-11.0518238412627
-0.001376,0.098045,-11.1440005591301
0.002681,-0.072006,-11.1955981862428
-0.00328,-0.196036,-11.2175245098911
-0.002927,-0.087897,-11.2544201752387
-0.010286,8.9e-05,-10.7138775646889
-0.004184,0.007223,-10.7353847476429
0.001203,-0.397922,-10.8333808816762
-0.007854,-0.292426,-10.6405807690227
0.010764,-0.238399,-10.3154133862584
0.006215,-0.10881,-10.2989092648149
0.004322,-0.432001,-10.3444445106571
-0.008114,-0.308079,-10.2449032278409
0.004815,-0.153239,-10.2802873642564
-0.002763,-0.175025,-10.3612281214099
-0.00332,-0.079448,-10.428615975418
-0.002907,-0.190306,-10.5027288115283
-0.006265,-0.2947,-10.4606887579237
-0.001651,-0.384155,-10.5555327137864
-0.003424,-0.111223,-10.6120940143903
-0.005474,-0.171188,-10.5905882499741
-0.002893,-0.275247,-10.6596541952548
-0.00745,-0.172678,-10.5317657665616
-0.001308,-0.226624,-10.630029792371
0.00441,-0.443438,-10.6497937668935
-0.004599,-0.16551,-10.6606332400675
0.002425,-0.554303,-10.7385024911455
0.001927,-0.430001,-10.8250144693305
0.008233,-0.207116,-10.6093544872643
-0.001423,-0.098992,-10.705647242506
-0.000806,-0.251353,-10.8077963552848
0.004251,-0.398501,-10.8185859954693
0.006741,-0.260014,-10.6990817194277
0.006399,-0.150779,-10.6207737489494
-0.004451,-0.143501,-10.63977817008
0.000369,-0.234865,-10.7445061687061
0.005961,-0.079195,-10.6817443559307
0.00265,0.082214,-10.753675986609
0.00121,0.010186,-10.8514511146352
0.005357,0.002308,-10.804448882379
0.005023,0.118939,-10.780519591209
0.001071,-0.068015,-10.8797714181573
